architecture,dataset,seed,path,sha256,file_size_mb
CNN_MLP,EPFL,456,extracted_dataset/downloaded_models/EPFL/CNN_MLP/CNN_MLP_seed456.pth,42ccdbb97a25f27c0973439b66e0b4be94dfb1f1fb2115e9dc52dfe61e3b2889,0.10538482666015625
CNN_MLP,EPFL,789,extracted_dataset/downloaded_models/EPFL/CNN_MLP/CNN_MLP_seed789.pth,68b00ad58b94f156d0d204694be96c4e6a1c64645365c460cd305c1dc26c217e,0.10538482666015625
CNN_MLP,EPFL,1024,extracted_dataset/downloaded_models/EPFL/CNN_MLP/CNN_MLP_seed1024.pth,095cdbbff54ca7aa11906db400a835f5c7460448ba06f8cbb90d5a4cc77a4e68,0.1054067611694336
CNN_MLP,NFFA,42,extracted_dataset/downloaded_models/NFFA/CNN_MLP/CNN_MLP_seed42.pth,59c6c38e152c2ad89334a060db27fcc8a424458c0e447863ade2f69386f35c9a,0.1053628921508789
CNN_MLP,NFFA,123,extracted_dataset/downloaded_models/NFFA/CNN_MLP/CNN_MLP_seed123.pth,a03beb582ad7c8cc415308cf114f8bd9f7b0071654c9bfcc62e6bc271c599f0d,0.10538482666015625
CNN_MLP,NFFA,456,extracted_dataset/downloaded_models/NFFA/CNN_MLP/CNN_MLP_seed456.pth,8636be4f8a8b2221fef3937a099de002de15b360d5c29b6ce85328ed7e9c1b8d,0.10538482666015625
CNN_MLP,NFFA,789,extracted_dataset/downloaded_models/NFFA/CNN_MLP/CNN_MLP_seed789.pth,e15b0c1b9ff8d0b481390e0c26d010a81417b5b5c176432daffac2ee6e88ce22,0.10538482666015625
CNN_MLP,NFFA,1024,extracted_dataset/downloaded_models/NFFA/CNN_MLP/CNN_MLP_seed1024.pth,f75a0e68ae103cf50105ccbc566387b776d0c1f2974f955ec5c2d2a0f7b4420e,0.1054067611694336
CNN_RF,Biofilms,42,extracted_dataset/downloaded_models/Biofilms/CNN_RF/CNN_RF_seed42.pth,f9e3b9f0afc6f5782ced3c526a1e61d509e53cbb423d2549b3775366587edaf6,7.368812561035156
CNN_RF,Biofilms,123,extracted_dataset/downloaded_models/Biofilms/CNN_RF/CNN_RF_seed123.pth,3e63ef3631bdab98a2d9ef841c8899e455f76781ae1e8a24e536593cbc659c83,7.405632972717285
CNN_RF,Biofilms,456,extracted_dataset/downloaded_models/Biofilms/CNN_RF/CNN_RF_seed456.pth,ca220a6470de03bc06937a9aa96704a91f5b489402517b7f066fcd561da195a8,7.394036293029785
