model,source_dataset,test_dataset,eval_type,seed,checkpoint_path,checkpoint_sha256,best_epoch,mae,mse,rmse,r2,n_samples,total_params,trainable_params,nontrainable_params,model_size_mb,training_time_sec,avg_inference_ms_sample,inference_std_ms,device
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_789/best.pt,4cd321945690724272855bf41533c75201f96e36b8f2df65d71b7e0ef868560a,35,0.5698619363453467,0.4898320324500114,0.6998800128950757,-0.44717042702380083,2130,23512129,23512129,0,89.89471817016602,783.3222644329071,8.766030033989132,1.5541729537535103,cuda
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_789/best.pt,4cd321945690724272855bf41533c75201f96e36b8f2df65d71b7e0ef868560a,35,1.489736745888705,4.611851397198609,2.147522152900549,0.6146500868009506,1930,23512129,23512129,0,89.89471817016602,783.3222644329071,9.104258779417048,1.846142674800777,cuda
ARNIQA_SNR,Biofilms,Biofilms,in-domain,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_789/best.pt,4cd321945690724272855bf41533c75201f96e36b8f2df65d71b7e0ef868560a,35,1.0581603629248484,1.9599282749763283,1.3999743836857617,0.8620260507197051,140,23512129,23512129,0,89.89471817016602,783.3222644329071,8.770217214311872,1.6513945854738206,cuda
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_1024/best.pt,e132e220c205f4722a38cc4bb52872f7f9d24d7ff4d82ac4f5e982739b1aa373,78,0.4866074826236062,0.3679103241777786,0.6065561179130737,-0.08696227619853869,2130,23512129,23512129,0,89.89471817016602,781.6452798843384,9.148600851426103,1.789281418211011,cuda
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_1024/best.pt,e132e220c205f4722a38cc4bb52872f7f9d24d7ff4d82ac4f5e982739b1aa373,78,0.9635390033376031,1.8560015719172995,1.3623514861875035,0.8449191044902113,1930,23512129,23512129,0,89.89471817016602,781.6452798843384,8.979770062500949,1.9489595528570773,cuda
ARNIQA_SNR,Biofilms,Biofilms,in-domain,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_1024/best.pt,e132e220c205f4722a38cc4bb52872f7f9d24d7ff4d82ac4f5e982739b1aa373,78,1.0411792772156852,2.08997488416485,1.4456745429607765,0.8528711012813293,140,23512129,23512129,0,89.89471817016602,781.6452798843384,8.643749782017299,1.3843178426776028,cuda
TOPIQ_NR_SNR,EPFL,EPFL,in-domain,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_42/best.pt,e3b79c5ae3ab448d1430c1046c1ed2ec3acedf81c9cccf3a3b06fbd75bd53d73,99,0.06993268554759137,0.0076627570006726296,0.08753717496396962,0.9773609837940218,2130,45196934,45196934,0,172.61566162109375,16926.755773305893,12.2013550968797,4.3700429018456095,cuda
TOPIQ_NR_SNR,EPFL,NFFA,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_42/best.pt,e3b79c5ae3ab448d1430c1046c1ed2ec3acedf81c9cccf3a3b06fbd75bd53d73,99,2.507478484094452,11.083949542260724,3.3292566050487493,0.07386456627651083,1930,45196934,45196934,0,172.61566162109375,16926.755773305893,11.952718551912456,1.5918441871081395,cuda
TOPIQ_NR_SNR,EPFL,Biofilms,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_42/best.pt,e3b79c5ae3ab448d1430c1046c1ed2ec3acedf81c9cccf3a3b06fbd75bd53d73,99,4.719486548219408,31.777515439160872,5.637154906436479,-1.2370559981382616,140,45196934,45196934,0,172.61566162109375,16926.755773305893,11.741037028176445,1.7205753189702186,cuda
TOPIQ_NR_SNR,EPFL,EPFL,in-domain,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_123/best.pt,b15abe15a1aaeee1aa06310d2559740fb72ec82f1db7925a0132352ea7a57ec3,99,0.07241453475235773,0.008174505425207647,0.09041297155390728,0.975849063100802,2130,45196934,45196934,0,172.61566162109375,18701.98150920868,11.666871012656342,1.6158509451139849,cuda
TOPIQ_NR_SNR,EPFL,NFFA,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_123/best.pt,b15abe15a1aaeee1aa06310d2559740fb72ec82f1db7925a0132352ea7a57ec3,99,2.4422665673834056,10.429270943993785,3.2294381777630896,0.12856718335751305,1930,45196934,45196934,0,172.61566162109375,18701.98150920868,12.018912814441741,1.7875196360844032,cuda
TOPIQ_NR_SNR,EPFL,Biofilms,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/TOPIQ_NR_SNR/EPFL/seed_123/best.pt,b15abe15a1aaeee1aa06310d2559740fb72ec82f1db7925a0132352ea7a57ec3,99,4.524288087231772,28.987064612665453,5.3839636526137,-1.0406153805301064,140,45196934,45196934,0,172.61566162109375,18701.98150920868,11.502689974648613,1.6429535255574608,cuda
